,time [ns],amplitude [MHZ]
375,187.5,(69.00866958159426-3.017655826492526j)
376,188.0,(69.16267305865192-2.4311569002520903j)
377,188.5,(69.29995043602017-1.7975295869046324j)
378,189.0,(69.42185757722507-1.1372727199572334j)
379,189.5,(69.52567852764558-0.4727073226906404j)
380,190.0,(69.60765506040643+0.17149696272830833j)
381,190.5,(69.66324947515427+0.7697030745931172j)
382,191.0,(69.68849929853556+1.2942669269292735j)
383,191.5,(69.68404864212802+1.7176742822270639j)
384,192.0,(69.65545097419648+2.0176587106270296j)
385,192.5,(69.61070704687049+2.179313754087624j)
386,193.0,(69.55955633489798+2.195608915883818j)
387,193.5,(69.51240911296365+2.0691267549302177j)
388,194.0,(69.47719691917028+1.8119276835559581j)
389,194.5,(69.45817106620069+1.4423085522977932j)
390,195.0,(69.45752020234848+0.9831128989536186j)
391,195.5,(69.47487856958979+0.46166110885295697j)
392,196.0,(69.50630000001895-0.09361983470841956j)
393,196.5,(69.54733419476646-0.6561934137329057j)
394,197.0,(69.59475766968716-1.2003478119888225j)
395,197.5,(69.64548874486388-1.7025792071077208j)
396,198.0,(69.69946005635009-2.1435383422615284j)
397,198.5,(69.76099449813285-2.504374449859639j)
398,199.0,(69.83421785437073-2.7657195894479307j)
399,199.5,(69.93703677915946-1.4345989425190337j)
400,200.0,(70-8.014704182901526e-16j)
